EEG_Path,Name,Type,Subject,Label
eeg_images/train/1_0_0.png,1_0_0.png,train,1,0
eeg_images/train/1_1_1.png,1_1_1.png,train,1,1
eeg_images/train/1_0_2.png,1_0_2.png,train,1,0
eeg_images/train/1_1_3.png,1_1_3.png,train,1,1
eeg_images/train/1_1_4.png,1_1_4.png,train,1,1
eeg_images/train/1_1_5.png,1_1_5.png,train,1,1
eeg_images/train/1_1_6.png,1_1_6.png,train,1,1
eeg_images/train/1_1_7.png,1_1_7.png,train,1,1
eeg_images/train/1_0_8.png,1_0_8.png,train,1,0
eeg_images/train/1_1_9.png,1_1_9.png,train,1,1
eeg_images/train/1_1_10.png,1_1_10.png,train,1,1
eeg_images/train/1_0_11.png,1_0_11.png,train,1,0
eeg_images/train/1_1_12.png,1_1_12.png,train,1,1
eeg_images/train/1_1_13.png,1_1_13.png,train,1,1
eeg_images/train/1_0_14.png,1_0_14.png,train,1,0
eeg_images/train/1_0_15.png,1_0_15.png,train,1,0
eeg_images/train/1_0_16.png,1_0_16.png,train,1,0
eeg_images/train/1_0_17.png,1_0_17.png,train,1,0
eeg_images/train/1_0_18.png,1_0_18.png,train,1,0
eeg_images/train/1_0_19.png,1_0_19.png,train,1,0
eeg_images/train/1_0_20.png,1_0_20.png,train,1,0
eeg_images/train/1_0_21.png,1_0_21.png,train,1,0
eeg_images/train/1_0_22.png,1_0_22.png,train,1,0
eeg_images/train/1_1_23.png,1_1_23.png,train,1,1
eeg_images/train/1_0_24.png,1_0_24.png,train,1,0
eeg_images/train/1_0_25.png,1_0_25.png,train,1,0
eeg_images/train/1_0_26.png,1_0_26.png,train,1,0
eeg_images/train/1_1_27.png,1_1_27.png,train,1,1
eeg_images/train/1_1_28.png,1_1_28.png,train,1,1
eeg_images/train/1_0_29.png,1_0_29.png,train,1,0
eeg_images/train/1_0_30.png,1_0_30.png,train,1,0
eeg_images/train/1_1_31.png,1_1_31.png,train,1,1
eeg_images/train/1_1_32.png,1_1_32.png,train,1,1
eeg_images/train/1_1_33.png,1_1_33.png,train,1,1
eeg_images/train/1_1_34.png,1_1_34.png,train,1,1
eeg_images/train/1_0_35.png,1_0_35.png,train,1,0
eeg_images/train/1_1_36.png,1_1_36.png,train,1,1
eeg_images/train/1_1_37.png,1_1_37.png,train,1,1
eeg_images/train/1_0_38.png,1_0_38.png,train,1,0
eeg_images/train/1_1_39.png,1_1_39.png,train,1,1
eeg_images/train/1_0_40.png,1_0_40.png,train,1,0
eeg_images/train/1_0_41.png,1_0_41.png,train,1,0
eeg_images/train/1_0_42.png,1_0_42.png,train,1,0
eeg_images/train/1_0_43.png,1_0_43.png,train,1,0
eeg_images/train/1_1_44.png,1_1_44.png,train,1,1
eeg_images/train/1_1_45.png,1_1_45.png,train,1,1
eeg_images/train/1_1_46.png,1_1_46.png,train,1,1
eeg_images/train/1_1_47.png,1_1_47.png,train,1,1
eeg_images/train/1_0_48.png,1_0_48.png,train,1,0
eeg_images/train/1_0_49.png,1_0_49.png,train,1,0
eeg_images/train/1_1_50.png,1_1_50.png,train,1,1
eeg_images/train/1_1_51.png,1_1_51.png,train,1,1
eeg_images/train/1_0_52.png,1_0_52.png,train,1,0
eeg_images/train/1_1_53.png,1_1_53.png,train,1,1
eeg_images/train/1_1_54.png,1_1_54.png,train,1,1
eeg_images/train/1_1_55.png,1_1_55.png,train,1,1
eeg_images/train/1_0_56.png,1_0_56.png,train,1,0
eeg_images/train/1_0_57.png,1_0_57.png,train,1,0
eeg_images/train/1_1_58.png,1_1_58.png,train,1,1
eeg_images/train/1_0_59.png,1_0_59.png,train,1,0
eeg_images/train/1_0_60.png,1_0_60.png,train,1,0
eeg_images/train/1_0_61.png,1_0_61.png,train,1,0
eeg_images/train/1_1_62.png,1_1_62.png,train,1,1
eeg_images/train/1_1_63.png,1_1_63.png,train,1,1
eeg_images/train/1_0_64.png,1_0_64.png,train,1,0
eeg_images/train/1_1_65.png,1_1_65.png,train,1,1
eeg_images/train/1_1_66.png,1_1_66.png,train,1,1
eeg_images/train/1_0_67.png,1_0_67.png,train,1,0
eeg_images/train/1_0_68.png,1_0_68.png,train,1,0
eeg_images/train/1_0_69.png,1_0_69.png,train,1,0
eeg_images/train/1_1_70.png,1_1_70.png,train,1,1
eeg_images/train/1_1_71.png,1_1_71.png,train,1,1
eeg_images/train/1_1_72.png,1_1_72.png,train,1,1
eeg_images/train/1_1_73.png,1_1_73.png,train,1,1
eeg_images/train/1_1_74.png,1_1_74.png,train,1,1
eeg_images/train/1_0_75.png,1_0_75.png,train,1,0
eeg_images/train/1_0_76.png,1_0_76.png,train,1,0
eeg_images/train/1_0_77.png,1_0_77.png,train,1,0
eeg_images/train/1_0_78.png,1_0_78.png,train,1,0
eeg_images/train/1_1_79.png,1_1_79.png,train,1,1
eeg_images/train/1_0_80.png,1_0_80.png,train,1,0
eeg_images/train/1_0_81.png,1_0_81.png,train,1,0
eeg_images/train/1_1_82.png,1_1_82.png,train,1,1
eeg_images/train/1_0_83.png,1_0_83.png,train,1,0
eeg_images/train/1_1_84.png,1_1_84.png,train,1,1
eeg_images/train/1_1_85.png,1_1_85.png,train,1,1
eeg_images/train/1_0_86.png,1_0_86.png,train,1,0
eeg_images/train/1_0_87.png,1_0_87.png,train,1,0
eeg_images/train/1_1_88.png,1_1_88.png,train,1,1
eeg_images/train/1_1_89.png,1_1_89.png,train,1,1
eeg_images/train/1_1_90.png,1_1_90.png,train,1,1
eeg_images/train/1_1_91.png,1_1_91.png,train,1,1
eeg_images/train/1_1_92.png,1_1_92.png,train,1,1
eeg_images/train/1_0_93.png,1_0_93.png,train,1,0
eeg_images/train/1_0_94.png,1_0_94.png,train,1,0
eeg_images/train/1_0_95.png,1_0_95.png,train,1,0
eeg_images/train/1_1_96.png,1_1_96.png,train,1,1
eeg_images/train/1_0_97.png,1_0_97.png,train,1,0
eeg_images/train/1_1_98.png,1_1_98.png,train,1,1
eeg_images/train/1_0_99.png,1_0_99.png,train,1,0
eeg_images/train/1_0_100.png,1_0_100.png,train,1,0
eeg_images/train/1_1_101.png,1_1_101.png,train,1,1
eeg_images/train/1_1_102.png,1_1_102.png,train,1,1
eeg_images/train/1_1_103.png,1_1_103.png,train,1,1
eeg_images/train/1_0_104.png,1_0_104.png,train,1,0
eeg_images/train/1_0_105.png,1_0_105.png,train,1,0
eeg_images/train/1_1_106.png,1_1_106.png,train,1,1
eeg_images/train/1_0_107.png,1_0_107.png,train,1,0
eeg_images/train/1_0_108.png,1_0_108.png,train,1,0
eeg_images/train/1_0_109.png,1_0_109.png,train,1,0
eeg_images/train/1_1_110.png,1_1_110.png,train,1,1
eeg_images/train/1_0_111.png,1_0_111.png,train,1,0
eeg_images/train/1_1_112.png,1_1_112.png,train,1,1
eeg_images/train/1_0_113.png,1_0_113.png,train,1,0
eeg_images/train/1_1_114.png,1_1_114.png,train,1,1
eeg_images/train/1_0_115.png,1_0_115.png,train,1,0
eeg_images/train/1_1_116.png,1_1_116.png,train,1,1
eeg_images/train/1_0_117.png,1_0_117.png,train,1,0
eeg_images/train/1_1_118.png,1_1_118.png,train,1,1
eeg_images/train/1_1_119.png,1_1_119.png,train,1,1
eeg_images/train/1_1_120.png,1_1_120.png,train,1,1
eeg_images/train/1_0_121.png,1_0_121.png,train,1,0
eeg_images/train/1_1_122.png,1_1_122.png,train,1,1
eeg_images/train/1_0_123.png,1_0_123.png,train,1,0
eeg_images/train/1_0_124.png,1_0_124.png,train,1,0
eeg_images/train/1_0_125.png,1_0_125.png,train,1,0
eeg_images/train/1_1_126.png,1_1_126.png,train,1,1
eeg_images/train/1_0_127.png,1_0_127.png,train,1,0
eeg_images/train/1_0_128.png,1_0_128.png,train,1,0
eeg_images/train/1_0_129.png,1_0_129.png,train,1,0
eeg_images/train/1_1_130.png,1_1_130.png,train,1,1
eeg_images/train/1_0_131.png,1_0_131.png,train,1,0
eeg_images/train/1_1_132.png,1_1_132.png,train,1,1
eeg_images/train/1_0_133.png,1_0_133.png,train,1,0
eeg_images/train/1_1_134.png,1_1_134.png,train,1,1
eeg_images/train/1_0_135.png,1_0_135.png,train,1,0
eeg_images/train/1_0_136.png,1_0_136.png,train,1,0
eeg_images/train/1_0_137.png,1_0_137.png,train,1,0
eeg_images/train/1_0_138.png,1_0_138.png,train,1,0
eeg_images/train/1_0_139.png,1_0_139.png,train,1,0
eeg_images/train/1_1_140.png,1_1_140.png,train,1,1
